DATE,PZINCUSDM
2011-03-01,2341.47826086957
2011-04-01,2371.47777777778
2011-05-01,2159.6
2011-06-01,2234.46590909091
2011-07-01,2397.75476190476
2011-08-01,2199.23863636364
2011-09-01,2075.22045454545
2011-10-01,1871.41666666667
2011-11-01,1935.31818181818
2011-12-01,1911.15
2012-01-01,1989.22619047619
2012-02-01,2057.78571428571
2012-03-01,2035.925
2012-04-01,2002.68421052632
2012-05-01,1928.01136363636
2012-06-01,1855.93421052632
2012-07-01,1847.75
2012-08-01,1816.31818181818
2012-09-01,2009.85
2012-10-01,1903.95869565217
2012-11-01,1912.39772727273
2012-12-01,2040.42894736842
2013-01-01,2031.40909090909
2013-02-01,2128.6875
2013-03-01,1929.15
2013-04-01,1855.6
2013-05-01,1831.0119047619
2013-06-01,1839.0125
2013-07-01,1837.61956521739
2013-08-01,1896.39285714286
2013-09-01,1846.88095238095
2013-10-01,1884.83695652174
2013-11-01,1866.41666666667
2013-12-01,1974.975
2014-01-01,2036.93181818182
2014-02-01,2034.525
2014-03-01,2007.90476190476
2014-04-01,2027.2125
2014-05-01,2058.975
2014-06-01,2128.09523809524
2014-07-01,2310.61956521739
2014-08-01,2326.9875
2014-09-01,2294.59090909091
2014-10-01,2276.82608695652
2014-11-01,2253.225
2014-12-01,2175.7619047619
2015-01-01,2113.04761904762
2015-02-01,2097.7625
2015-03-01,2028.72727272727
2015-04-01,2212.725
2015-05-01,2281.80263157895
2015-06-01,2082.09090909091
2015-07-01,2000.6847826087
2015-08-01,1807.6375
2015-09-01,1720.22727272727
2015-10-01,1724.34090909091
2015-11-01,1583.30952380952
2015-12-01,1527.78571428571
2016-01-01,1520.3625
2016-02-01,1709.84523809524
2016-03-01,1801.69047619048
2016-04-01,1855.37380952381
2016-05-01,1869.025
2016-06-01,2026.19318181818
2016-07-01,2183.25
2016-08-01,2279.13636363636
2016-09-01,2292.30681818182
2016-10-01,2311.5
2016-11-01,2566.20454545455
2016-12-01,2664.8125
2017-01-01,2714.79761904762
2017-02-01,2845.55
2017-03-01,2776.88043478261
2017-04-01,2614.91666666667
2017-05-01,2590.21428571429
2017-06-01,2573.39772727273
2017-07-01,2787.19047619048
2017-08-01,2980.72727272727
2017-09-01,3116.85714285714
2017-10-01,3264.60227272727
2017-11-01,3229.30681818182
2017-12-01,3195.94736842105
2018-01-01,3441.52272727273
2018-02-01,3532.9
2018-03-01,3269.17857142857
2018-04-01,3188.05
2018-05-01,3059.86904761905
2018-06-01,3088.57142857143
2018-07-01,2656.125
2018-08-01,2512
2018-09-01,2434.675
2018-10-01,2673.67391304348
2018-11-01,2595.69318181818
2018-12-01,2616.28947368421
2019-01-01,2569.70454545455
2019-02-01,2707.1875
2019-03-01,2850.59523809524
2019-04-01,2932.65
2019-05-01,2742.80952380952
2019-06-01,2601.225
2019-07-01,2446.51086956522
2019-08-01,2273.0119047619
2019-09-01,2331.55952380952
2019-10-01,2451.65217391304
2019-11-01,2425.47619047619
2019-12-01,2272.5375
2020-01-01,2354.30681818182
2020-02-01,2113.2375
