Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,0.600000,0.980000,0.520000,0.750000,0.750000,1024000
2018-09-18,0.980000,1.070000,0.850000,0.950000,0.950000,929100
2018-09-19,0.940000,0.940000,0.650000,0.750000,0.750000,456100
2018-09-20,0.780000,0.830000,0.710000,0.710000,0.710000,253500
2018-09-21,0.730000,0.730000,0.650000,0.660000,0.660000,192700
2018-09-24,0.700000,0.700000,0.560000,0.580000,0.580000,202000
2018-09-25,0.580000,0.620000,0.530000,0.550000,0.550000,203600
2018-09-26,0.560000,0.560000,0.490000,0.540000,0.540000,574400
2018-09-27,0.550000,0.550000,0.480000,0.480000,0.480000,97500
2018-09-28,0.495000,0.520000,0.480000,0.490000,0.490000,88100
2018-10-01,0.500000,0.500000,0.455000,0.470000,0.470000,70100
2018-10-02,0.480000,0.480000,0.445000,0.480000,0.480000,30500
2018-10-03,0.480000,0.480000,0.435000,0.450000,0.450000,30300
2018-10-04,0.460000,0.470000,0.420000,0.430000,0.430000,8800
2018-10-05,0.450000,0.450000,0.450000,0.450000,0.450000,35400
2018-10-09,0.445000,0.445000,0.430000,0.430000,0.430000,15500
2018-10-10,0.425000,0.450000,0.410000,0.430000,0.430000,43600
2018-10-11,0.445000,0.445000,0.410000,0.420000,0.420000,33200
2018-10-12,0.430000,0.460000,0.430000,0.460000,0.460000,63900
2018-10-15,0.475000,0.550000,0.475000,0.550000,0.550000,61900
2018-10-16,0.550000,0.550000,0.500000,0.550000,0.550000,60600
2018-10-17,0.550000,0.620000,0.550000,0.580000,0.580000,115400
2018-10-18,0.580000,0.580000,0.520000,0.550000,0.550000,18300
2018-10-19,0.560000,0.560000,0.530000,0.540000,0.540000,28000
2018-10-22,0.530000,0.800000,0.530000,0.680000,0.680000,296800
2018-10-23,0.600000,0.600000,0.560000,0.600000,0.600000,16500
2018-10-24,0.640000,0.640000,0.550000,0.550000,0.550000,21700
2018-10-25,0.560000,0.560000,0.510000,0.510000,0.510000,9000
2018-10-26,0.455000,0.510000,0.455000,0.510000,0.510000,7900
2018-10-29,0.465000,0.465000,0.430000,0.430000,0.430000,22700
2018-10-30,0.430000,0.455000,0.430000,0.450000,0.450000,11000
2018-10-31,0.450000,0.450000,0.450000,0.450000,0.450000,2200
2018-11-01,0.440000,0.440000,0.440000,0.440000,0.440000,7800
2018-11-02,0.440000,0.440000,0.440000,0.440000,0.440000,0
2018-11-05,0.430000,0.470000,0.420000,0.470000,0.470000,6500
2018-11-06,0.490000,0.500000,0.490000,0.500000,0.500000,8000
2018-11-07,0.480000,0.480000,0.480000,0.480000,0.480000,3900
2018-11-08,0.480000,0.480000,0.480000,0.480000,0.480000,0
2018-11-09,0.480000,0.480000,0.480000,0.480000,0.480000,0
2018-11-12,0.435000,0.435000,0.435000,0.435000,0.435000,2600
2018-11-13,0.440000,0.440000,0.440000,0.440000,0.440000,1000
2018-11-14,0.440000,0.440000,0.440000,0.440000,0.440000,0
2018-11-15,0.470000,0.480000,0.465000,0.465000,0.465000,16100
2018-11-16,0.470000,0.470000,0.470000,0.470000,0.470000,15000
2018-11-19,0.465000,0.470000,0.465000,0.470000,0.470000,6000
2018-11-20,0.455000,0.455000,0.440000,0.440000,0.440000,40000
2018-11-21,0.450000,0.450000,0.450000,0.450000,0.450000,3000
2018-11-22,0.450000,0.450000,0.445000,0.445000,0.445000,11000
2018-11-23,0.455000,0.455000,0.455000,0.455000,0.455000,12000
2018-11-26,0.465000,0.470000,0.450000,0.450000,0.450000,17400
2018-11-27,0.450000,0.450000,0.425000,0.425000,0.425000,24500
2018-11-28,0.425000,0.425000,0.300000,0.335000,0.335000,65400
2018-11-29,0.365000,0.405000,0.340000,0.340000,0.340000,117500
2018-11-30,0.335000,0.340000,0.330000,0.330000,0.330000,33000
2018-12-03,0.320000,0.355000,0.320000,0.340000,0.340000,60100
2018-12-04,0.350000,0.350000,0.325000,0.330000,0.330000,36700
2018-12-05,0.330000,0.345000,0.310000,0.345000,0.345000,36500
2018-12-06,0.340000,0.340000,0.320000,0.320000,0.320000,11600
2018-12-07,0.330000,0.330000,0.330000,0.330000,0.330000,8900
2018-12-10,0.330000,0.330000,0.305000,0.305000,0.305000,38500
2018-12-11,0.310000,0.310000,0.310000,0.310000,0.310000,19000
2018-12-12,0.310000,0.310000,0.310000,0.310000,0.310000,0
2018-12-13,0.315000,0.315000,0.310000,0.315000,0.315000,6500
2018-12-14,0.310000,0.320000,0.295000,0.320000,0.320000,27000
2018-12-17,0.310000,0.310000,0.270000,0.270000,0.270000,48700
2018-12-18,0.290000,0.300000,0.290000,0.290000,0.290000,5000
2018-12-19,0.300000,0.300000,0.240000,0.245000,0.245000,53000
2018-12-20,0.240000,0.245000,0.235000,0.235000,0.235000,31000
2018-12-21,0.235000,0.235000,0.210000,0.210000,0.210000,62700
2018-12-24,0.195000,0.210000,0.185000,0.210000,0.210000,164500
2018-12-27,0.210000,0.210000,0.205000,0.205000,0.205000,2500
2018-12-28,0.210000,0.245000,0.210000,0.245000,0.245000,29000
2018-12-31,0.245000,0.265000,0.245000,0.265000,0.265000,22500
2019-01-02,0.270000,0.320000,0.270000,0.320000,0.320000,25700
2019-01-03,0.320000,0.320000,0.300000,0.300000,0.300000,7200
2019-01-04,0.305000,0.315000,0.305000,0.315000,0.315000,8300
2019-01-07,0.310000,0.350000,0.310000,0.350000,0.350000,27300
2019-01-08,0.390000,0.390000,0.330000,0.340000,0.340000,65400
2019-01-09,0.345000,0.345000,0.335000,0.335000,0.335000,22700
2019-01-10,0.340000,0.355000,0.340000,0.340000,0.340000,56500
2019-01-11,0.345000,0.400000,0.345000,0.400000,0.400000,18700
2019-01-14,0.480000,0.500000,0.450000,0.485000,0.485000,72600
2019-01-15,0.490000,0.490000,0.450000,0.450000,0.450000,31200
2019-01-16,0.450000,0.450000,0.420000,0.420000,0.420000,11000
2019-01-17,0.425000,0.425000,0.400000,0.400000,0.400000,13500
2019-01-18,0.400000,0.400000,0.385000,0.385000,0.385000,11500
2019-01-21,0.380000,0.380000,0.380000,0.380000,0.380000,10000
2019-01-22,0.375000,0.395000,0.375000,0.395000,0.395000,15100
2019-01-23,0.395000,0.395000,0.395000,0.395000,0.395000,300
2019-01-24,0.400000,0.400000,0.400000,0.400000,0.400000,13300
2019-01-25,0.400000,0.400000,0.400000,0.400000,0.400000,0
2019-01-28,0.430000,0.455000,0.430000,0.450000,0.450000,47100
2019-01-29,0.480000,0.480000,0.450000,0.450000,0.450000,16900
2019-01-30,0.475000,0.475000,0.440000,0.450000,0.450000,22400
2019-01-31,0.450000,0.475000,0.445000,0.470000,0.470000,32600
2019-02-01,0.480000,0.550000,0.470000,0.540000,0.540000,125700
2019-02-04,0.540000,0.540000,0.510000,0.510000,0.510000,11000
2019-02-05,0.510000,0.550000,0.500000,0.550000,0.550000,30900
2019-02-06,0.550000,0.670000,0.520000,0.600000,0.600000,87300
2019-02-07,0.600000,0.600000,0.590000,0.600000,0.600000,131200
2019-02-08,0.600000,0.670000,0.590000,0.660000,0.660000,118500
2019-02-11,0.660000,0.660000,0.560000,0.560000,0.560000,47200
2019-02-12,0.570000,0.630000,0.570000,0.630000,0.630000,29400
2019-02-13,0.640000,0.640000,0.610000,0.620000,0.620000,16000
2019-02-14,0.600000,0.610000,0.580000,0.580000,0.580000,19400
2019-02-15,0.590000,0.600000,0.590000,0.600000,0.600000,18100
2019-02-19,0.600000,0.610000,0.590000,0.590000,0.590000,47000
2019-02-20,0.590000,0.600000,0.590000,0.600000,0.600000,15000
2019-02-21,0.600000,0.630000,0.600000,0.620000,0.620000,23800
2019-02-22,0.640000,0.640000,0.590000,0.590000,0.590000,23900
2019-02-25,0.600000,0.640000,0.600000,0.600000,0.600000,26000
2019-02-26,0.580000,0.620000,0.580000,0.620000,0.620000,20700
2019-02-27,0.610000,0.610000,0.550000,0.560000,0.560000,28100
2019-02-28,0.570000,0.590000,0.560000,0.590000,0.590000,34000
2019-03-01,0.590000,0.610000,0.570000,0.570000,0.570000,48200
2019-03-04,0.600000,0.690000,0.600000,0.610000,0.610000,73200
2019-03-05,0.610000,0.650000,0.600000,0.630000,0.630000,24300
